Symbol,Name,Category
SKYY,First Trust Cloud Computing ETF,Other
FIVG,Defiance Connective Technologies ETF,Thematic
IBB,iShares Biotechnology ETF,Other
XHE,SPDR S&P Health Care Equipment ETF,Other
XHS,SPDR S&P Health Care Services ETF,Other
XPH,SPDR S&P Pharmaceuticals ETF,Other
XAR,SPDR S&P Aerospace & Defense ETF,Other
ITA,iShares U.S. Aerospace & Defense ETF,Other
XME,SPDR S&P Metals and Mining ETF,Other
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Other
OIH,VanEck Oil Services ETF,Other
KBE,SPDR S&P Bank ETF,Other
KRE,SPDR S&P Regional Banking ETF,Other
IAT,iShares U.S. Regional Banks ETF,Other
IAI,iShares U.S. Broker-Dealers & Securities Exchanges ETF,Other
IGV,iShares Expanded Tech-Software Sector ETF,Other
XSW,SPDR S&P Software & Services ETF,Other
FDN,First Trust Dow Jones Internet Index Fund,Other
PNQI,Invesco NASDAQ Internet ETF,Other
BJK,VanEck Gaming ETF,Other
BETZ,Roundhill Sports Betting & iGaming ETF,Other
MJ,Amplify Alternative Harvest ETF,Other
YOLO,AdvisorShares Pure Cannabis ETF,Other
TOKE,Cambria Cannabis ETF,Other
CNBS,Amplify Seymour Cannabis ETF,Other
UFO,Procure Space ETF,Other
ESPO,VanEck Video Gaming and eSports ETF,Other
NERD,Roundhill Video Games ETF,Other
ECLN,First Trust EIP Carbon Impact ETF,Other
ICLN,iShares Global Clean Energy ETF,Clean Energy
PBW,Invesco WilderHill Clean Energy ETF,Clean Energy
TAN,Invesco Solar ETF,Clean Energy
FAN,First Trust Global Wind Energy ETF,Clean Energy
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,Clean Energy
CRAK,VanEck Oil Refiners ETF,Other
FRAK,VanEck Vectors Unconventional Oil & Gas ETF,Other
XLFV,,Other
FREL,Fidelity MSCI Real Estate Index ETF,Other
FNCL,Fidelity MSCI Financials Index ETF,Other
