Symbol,Name,Category,Sector,Region
REET,iShares Global REIT ETF,REIT,Real Estate,Global
REM,iShares Mortgage Real Estate Capped ETF,REIT,Real Estate,US
FREL,Fidelity MSCI Real Estate Index ETF,REIT,Real Estate,US
IYR,iShares U.S. Real Estate ETF,REIT,Real Estate,US
RWR,SPDR Dow Jones REIT ETF,REIT,Real Estate,US
XLRE,The Real Estate Select Sector SPDR Fund,REIT,Real Estate,US
PSR,Invesco Active U.S. Real Estate Fund,REIT,Real Estate,US
ICF,iShares Select U.S. REIT ETF,REIT,Real Estate,US
RWX,SPDR Dow Jones International Real Estate ETF,REIT,Real Estate,International
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,Technology,US
IYW,iShares U.S. Technology ETF,Equity,Technology,US
IXN,iShares Global Tech ETF,Equity,Technology,Global
SOXX,iShares Semiconductor ETF,Equity,Technology,US
SMH,VanEck Semiconductor ETF,Equity,Technology,US
XSD,SPDR S&P Semiconductor ETF,Equity,Technology,US
FBCG,Fidelity Blue Chip Growth ETF,Equity,Growth,US
ARKW,ARK Next Generation Internet ETF,Thematic,Internet,US
ARKF,ARK Fintech Innovation ETF,Thematic,Fintech,US
ARKG,ARK Genomic Revolution ETF,Thematic,Healthcare,US
ARKQ,ARK Autonomous Technology & Robotics ETF,Thematic,Technology,US
PRNT,The 3D Printing ETF,Thematic,Technology,US
ROBO,Robo Global Robotics and Automation Index ETF,Thematic,Technology,Global
BOTZ,Global X Robotics & Artificial Intelligence ETF,Thematic,Technology,Global
HACK,Amplify Cybersecurity ETF,Thematic,Technology,US
CIBR,First Trust NASDAQ Cybersecurity ETF,Thematic,Technology,US
SKYY,First Trust Cloud Computing ETF,Thematic,Technology,US
FIVG,Defiance Connective Technologies ETF,Thematic,Technology,US
IBB,iShares Biotechnology ETF,Equity,Biotechnology,US
XHE,SPDR S&P Health Care Equipment ETF,Equity,Healthcare,US
XHS,SPDR S&P Health Care Services ETF,Equity,Healthcare,US
XPH,SPDR S&P Pharmaceuticals ETF,Equity,Healthcare,US
XAR,SPDR S&P Aerospace & Defense ETF,Equity,Industrials,US
ITA,iShares U.S. Aerospace & Defense ETF,Equity,Industrials,US
XME,SPDR S&P Metals and Mining ETF,Equity,Materials,US
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Equity,Energy,US
OIH,VanEck Oil Services ETF,Equity,Energy,US
KBE,SPDR S&P Bank ETF,Equity,Financials,US
KRE,SPDR S&P Regional Banking ETF,Equity,Financials,US
IAT,iShares U.S. Regional Banks ETF,Equity,Financials,US
IAI,iShares U.S. Broker-Dealers & Securities Exchanges ETF,Equity,Financials,US
IGV,iShares Expanded Tech-Software Sector ETF,Equity,Technology,US
XSW,SPDR S&P Software & Services ETF,Equity,Technology,US
FDN,First Trust Dow Jones Internet Index Fund,Equity,Technology,US
PNQI,Invesco NASDAQ Internet ETF,Equity,Technology,US
BJK,VanEck Gaming ETF,Equity,Consumer Discretionary,US
BETZ,Roundhill Sports Betting & iGaming ETF,Equity,Consumer Discretionary,US
MJ,Amplify Alternative Harvest ETF,Thematic,Cannabis,US
YOLO,AdvisorShares Pure Cannabis ETF,Thematic,Cannabis,US
TOKE,Cambria Cannabis ETF,Thematic,Cannabis,US
CNBS,Amplify Seymour Cannabis ETF,Thematic,Cannabis,US
UFO,Procure Space ETF,Thematic,Space,Global
ESPO,VanEck Video Gaming and eSports ETF,Thematic,Technology,Global
NERD,Roundhill Video Games ETF,Thematic,Technology,Global
ECLN,First Trust EIP Carbon Impact ETF,Thematic,Clean Energy,Global
ICLN,iShares Global Clean Energy ETF,Clean Energy,Clean Energy,Global
PBW,Invesco WilderHill Clean Energy ETF,Clean Energy,Clean Energy,US
TAN,Invesco Solar ETF,Clean Energy,Solar,US
FAN,First Trust Global Wind Energy ETF,Clean Energy,Wind,Global
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,Clean Energy,Clean Energy,US
CRAK,VanEck Oil Refiners ETF,Equity,Energy,Global
FRAK,VanEck Vectors Unconventional Oil & Gas ETF,Equity,Energy,US
XLFV,,Equity,Financials,US
FREL,Fidelity MSCI Real Estate Index ETF,REIT,Real Estate,US
FNCL,Fidelity MSCI Financials Index ETF,Equity,Financials,US
